split,model,n_train,n_test,r2_baseline,r2_full,delta_r2,mae_baseline,mae_full,delta_mae,rmse_baseline,rmse_full,delta_rmse,rho_baseline,rho_full,delta_rho,ndcg20_baseline,ndcg20_full,delta_ndcg20,p10_baseline,p10_full,delta_p10,alpha_baseline,alpha_full
20,ols,123,23,0.5605777296855983,0.547515216196195,-0.013062513489403238,4.741818561292323,5.1236746061776195,0.38185604488529634,6.5325551197883875,6.628939276263119,0.09638415647473142,0.7055335968379446,0.6956521739130435,-0.009881422924901129,0.9446327599016232,0.9447953416080845,0.00016258170646132886,0.8,0.7,-0.10000000000000009,,
21,ridge,122,24,0.3984480695299907,0.4029026719852551,0.0044546024552644115,6.355579103054449,5.9103145447420715,-0.44526455831237755,8.554497332470724,8.5227646653239,-0.03173266714682477,0.871192671113276,0.7998262385145859,-0.07136643259869013,0.5943634821615862,0.598099446327352,0.003735964165765826,0.8,0.8,0.0,6.158482110660261,12.742749857031322
21,ols,122,24,0.3954189450072766,0.40191880104671507,0.0064998560394384786,6.448576290570682,5.8995930554975,-0.548983235073182,8.576008441765937,8.529783495158497,-0.04622494660744003,0.871192671113276,0.796344949119528,-0.074847721993748,0.5943634821615862,0.5812138733685568,-0.0131496087930294,0.8,0.8,0.0,,
22,ridge,86,60,0.24125277685076407,0.2365477717786828,-0.00470500507208127,10.785975762324766,10.784376839281595,-0.0015989230431703305,15.806492872914774,15.855425304631153,0.048932431716378844,0.8011669908307866,0.8025006946373995,0.001333703806612907,0.4083487845875266,0.4061330139558435,-0.0022157706316831005,0.6,0.6,0.0,12.742749857031322,12.742749857031322
22,ols,86,60,0.2836575433677466,0.264026407189459,-0.0196311361782876,10.585106266331763,10.555004264254459,-0.030102002077304846,15.358447181364868,15.567471468790679,0.20902428742581058,0.8087802167268688,0.8228952486801892,0.014115031953320312,0.40972031985825985,0.4041448044973036,-0.00557551536095624,0.6,0.7,0.09999999999999998,,
23,ridge,119,27,0.4224702238885335,0.44218295344006364,0.01971272955153014,4.950391301118905,4.7759027993471594,-0.17448850177174524,5.839560944591995,5.739035300616907,-0.10052564397508856,0.6306471306471306,0.5989010989010989,-0.031746031746031744,0.7444982004303557,0.7444367875855383,-6.141284481742115e-05,0.7,0.7,0.0,6.158482110660261,12.742749857031322
23,ols,119,27,0.37398134558112794,0.3545050776726433,-0.019476267908484668,5.2134541895841675,5.280416749564466,0.06696255998029876,6.07976289448801,6.173613263451349,0.09385036896333876,0.6501831501831502,0.6202686202686202,-0.02991452991453003,0.7449847178021066,0.7449377689790856,-4.6948823021031316e-05,0.7,0.7,0.0,,
24,ridge,111,35,0.4770439364341402,0.3970603560304746,-0.0799835804036656,7.387476936746874,7.604041802349233,0.21656486560235866,9.880530190505707,10.609247184300667,0.7287169937949596,0.7677871148459383,0.6717086834733894,-0.0960784313725489,0.9735770134384326,0.9201664690736538,-0.05341054436477877,0.6,0.6,0.0,6.158482110660261,12.742749857031322
24,ols,111,35,0.47942940027343683,0.40376507274073714,-0.0756643275326997,7.383514698221589,7.546563116789142,0.16304841856755292,9.857969416438495,10.550094620233745,0.6921252037952499,0.7739495798319328,0.6414565826330533,-0.13249299719887953,0.9735770134384326,0.9162029626112658,-0.057374050827166845,0.6,0.5,-0.09999999999999998,,
25,ridge,124,22,0.4582017359171522,0.4859095320310388,0.02770779611388663,7.377593783465532,7.096504185398562,-0.28108959806696987,9.915022493661816,9.658166207690634,-0.2568562859711818,0.7029926595143988,0.68944099378882,-0.013551665725578865,0.8446770004856929,0.844815499060866,0.00013849857517300723,0.7,0.7,0.0,6.158482110660261,12.742749857031322
25,ols,124,22,0.4471649192902011,0.4716743910365714,0.024509471746370304,7.4520168625000505,7.23543297370412,-0.21658388879593016,10.015501402595612,9.790970235931034,-0.22453116666457795,0.7029926595143988,0.691699604743083,-0.011293054771315814,0.8446770004856929,0.8446402923647646,-3.670812092837483e-05,0.7,0.7,0.0,,
26,ridge,97,49,0.29084976945112073,0.2128172180683967,-0.07803255138272402,10.672601105706875,10.692567438891016,0.01996633318414176,15.617572452367313,16.45440559378627,0.8368331414189569,0.7631632653061223,0.763469387755102,0.000306122448979651,0.4191167514914794,0.40895593000222114,-0.010160821489258287,0.7,0.7,0.0,12.742749857031322,12.742749857031322
26,ols,97,49,0.32536393500528915,0.21581386775808953,-0.10955006724719962,10.411659827177385,10.49439902554297,0.08273919836558541,15.232780436561187,16.423056390890178,1.1902759543289907,0.7614285714285713,0.7429591836734694,-0.018469387755101985,0.4191167514914794,0.40621959120947326,-0.01289716028200616,0.7,0.7,0.0,,
27,ridge,114,32,0.5478261096783636,0.4335152722295539,-0.11431083744880977,7.467403981533285,7.803970584622489,0.33656660308920383,10.308198404938079,11.537829879812765,1.2296314748746866,0.8592375366568914,0.8629032258064515,0.003665689149560114,0.8724550783162396,0.5732237571374856,-0.29923132117875395,0.8,0.8,0.0,6.158482110660261,12.742749857031322
27,ols,114,32,0.558111356756209,0.4457958258640531,-0.11231553089215596,7.435076990038777,7.709880119522368,0.2748031294835913,10.190287765053501,11.412083074592307,1.2217953095388054,0.8621700879765395,0.8607038123167154,-0.0014662756598240456,0.8724550783162396,0.5732212894603458,-0.2992337888558938,0.8,0.8,0.0,,
28,ridge,95,51,0.08353041433195008,0.09058325183133287,0.007052837499382791,12.953913773173703,12.926099109142834,-0.02781466403086874,18.44966609806714,18.37853781869919,-0.07112827936795085,0.8009954751131222,0.7923076923076923,-0.008687782805429922,0.4073688320042207,0.40824389815776235,0.0008750661535416593,0.6,0.6,0.0,6.158482110660261,6.158482110660261
28,ols,95,51,0.11515702750585044,0.1143799350939767,-0.0007770924118737366,12.821866376622777,12.82508071318884,0.0032143365660619594,18.12852982005598,18.136488549313036,0.007958729257055097,0.7924886877828055,0.7973755656108596,0.0048868778280541925,0.4073688320107485,0.40736883208224617,7.149764114089407e-11,0.6,0.6,0.0,,
29,ridge,102,44,0.2225487645197186,0.15387440853768464,-0.06867435598203397,12.092632161441053,12.230689475694108,0.13805731425305545,17.22325540515857,17.967848544017805,0.7445931388592335,0.7592670894996476,0.7610993657505285,0.0018322762508808932,0.3912201860763321,0.3993144305762851,0.008094244499952996,0.7,0.7,0.0,6.158482110660261,12.742749857031322
29,ols,102,44,0.24623351343104838,0.1841600996757392,-0.06207341375530917,11.990230939445855,12.002337671741742,0.012106732295887213,16.95887639870346,17.64335341483271,0.6844770161292502,0.7592670894996476,0.7608174770965468,0.0015503875968991832,0.3912201860763321,0.39859940572570823,0.007379219649376156,0.7,0.7,0.0,,
