metric,baseline_mean,baseline_median,full_mean,full_median,delta_mean,delta_median,delta_q1,delta_q3,delta_iqr
R²,-0.31896444899331533,0.26582947823281783,-0.3040431314280793,0.22207337608638356,0.014921317565236009,-0.00404403573706924,-0.05889644034632166,0.044756521477346656,0.10365296182366832
MAE,7.840859786003462,7.176307796722213,7.760759674795331,7.125804941166411,-0.08010011120813028,-0.028464160531477045,-0.2889461482791542,0.07297561491206306,0.36192176319121727
RMSE,10.719093742329965,9.632212114445265,10.859670896312268,9.772928454459194,0.1405771539823043,0.03945792885069643,-0.23146198574709853,0.4321404622178151,0.6636024479649136
Spearman ρ,0.6333024382864206,0.6911207947390913,0.6055577554442191,0.6561954823644527,-0.02774468284220157,-0.018700789208670743,-0.05120367437440612,-0.00038134484563046023,0.05082232952877566
NDCG@20,0.6629216727812992,0.621461986256351,0.6402857276618558,0.6099595007023282,-0.02263594511944359,-0.005538461440559916,-0.02064007086498787,9.796398306299858e-05,0.020738034848050868
Precision@10,0.67,0.7,0.655,0.7,-0.015000000000000008,0.0,0.0,0.0,0.0
