dataset,x,y,n,rho,ci_low,ci_high,p,p_adj
K562,TRCSS,editing_efficiency,146,0.21430620742950182,0.05372830353171039,0.36407963406571886,0.009391486135131829,0.015652476891886383
K562,PRIDICT2,editing_efficiency,146,0.40752665989586967,0.26245321537806615,0.5345844588629363,3.3039827409528483e-07,1.6519913704764241e-06
K562,TRCSS,PRIDICT2,146,-0.013389524171242537,-0.17545627286911375,0.1493837862750097,0.8725638001250213,0.8725638001250213
HEK293T,TRCSS,editing_efficiency,56,0.03429744803505124,-0.23068311097624106,0.29454214684528585,0.8018576998393471,0.8725638001250213
HEK293T,PRIDICT2,editing_efficiency,56,0.4410116199589884,0.20146995622096725,0.6307783308557406,0.0006689846428149943,0.0016724616070374857
