metric,baseline_mean,baseline_median,full_mean,full_median,delta_mean,delta_median,delta_q1,delta_q3,delta_iqr
R²,-0.38052577855304753,0.28302694597515227,-0.38073816280202166,0.2087187943001244,-0.0002123842489740835,-0.014228866524607586,-0.0627494741571096,0.02930415058828481,0.09205362474539441
MAE,7.961807055313373,7.390591008349629,7.936586813171755,7.4031501936153665,-0.025220242141618027,-0.017200118921461893,-0.1700350734722238,0.08488869657120146,0.25492377004342526
RMSE,10.78718540888174,9.891246978349098,11.006946168391648,10.03488893988045,0.21976075950991025,0.10596972425700146,-0.13651819882367722,0.5247910324183205,0.6613092312419977
Spearman ρ,0.6339460229331033,0.6935166057524232,0.6044817073503843,0.6483007455223475,-0.029464315582719103,-0.02039573885513815,-0.047392973318359594,-0.004604780161513972,0.04278819315684562
NDCG@20,0.6613217821839205,0.6121905012453115,0.6366037403717013,0.6085464561720999,-0.02471804181221919,-0.005385565728516506,-0.021315111987866134,-8.353640031932841e-07,0.02131427662386294
Precision@10,0.6669999999999999,0.7,0.6539999999999998,0.7,-0.013000000000000003,0.0,0.0,0.0,0.0
